,partisan_gini,partisan_bias,mean_median,efficiency_gap
0,0.07364374794026013,-0.13636363636363635,-0.05230007534447001,-0.1086791553676982
1,0.07387687359478332,-0.13636363636363635,-0.05218351251720854,-0.1086791553676982
2,0.07389805262501868,-0.13636363636363635,-0.052194102032326106,-0.1086791553676982
3,0.07358121843142462,-0.13636363636363635,-0.052035684935529014,-0.1086791553676982
4,0.054912802960512014,-0.13636363636363635,-0.051688440842206695,-0.1086791553676982
5,0.025443773664472633,-0.04545454545454547,-0.05174825894865975,-0.1086791553676982
6,0.03332552843346867,-0.04545454545454547,-0.051999386683907134,-0.1086791553676982
7,0.018480760319790127,0.045454545454545414,0.028768757038972192,-0.016545478753847966
8,0.022884582406184274,0.13636363636363635,0.0050977913243429596,0.09290200202200727
9,0.022547185676863413,0.13636363636363635,0.005056944654522,0.09290200202200727
10,0.022652535648024073,0.13636363636363635,0.00510961964010237,0.09290200202200727
11,0.02286123330758073,0.13636363636363635,0.009439756453922143,0.09290200202200727
12,0.021992546579870688,0.045454545454545414,0.026834029355414568,0.09290200202200727
13,0.02277306118603288,0.045454545454545414,0.026562557502714967,0.09290200202200727
14,0.023467139960327857,0.045454545454545414,0.026215518115567327,0.09290200202200727
15,0.026449202116409835,0.045454545454545414,0.026188385694864147,0.0918749888266621
16,0.02425355759396282,0.045454545454545414,0.02611747609020354,0.0918749888266621
17,0.024029870789552765,0.045454545454545414,0.025841537561068217,0.0918749888266621
18,0.029214757741776672,0.045454545454545414,0.025866356066291285,0.0918749888266621
19,0.02919289543944482,0.045454545454545414,0.026136396554924723,0.0918749888266621
20,0.02407216319352846,0.045454545454545414,0.026079500696547853,0.0918749888266621
21,0.024128500667374275,0.045454545454545414,0.02610766943347076,0.0918749888266621
22,0.024349089733346364,0.045454545454545414,0.026217963966456814,0.0918749888266621
23,0.024399119819248846,0.045454545454545414,0.0265435029142298,0.0918749888266621
24,0.025416766787074243,0.045454545454545414,0.02701739834294259,0.0918749888266621
25,0.02512788001511486,0.045454545454545414,0.026721006118298973,-0.0005911529577259596
26,0.025108951047406573,0.045454545454545414,0.02661972801223611,-0.0005911529577259596
27,0.024349530123293318,0.045454545454545414,0.02645103262717341,-0.0005911529577259596
